date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2020-01-01,0.5,-3.3,5.5,0,0,352.9,5,16.6,1036.3,389
2020-01-02,-2.2,-5.9,3,0.1,0,349.1,5.6,14.8,1032.2,456
2020-01-03,-3.2,-4.3,-1.1,0,0,352.4,6,14.8,1029.4,0
2020-01-04,2.9,-1.1,5.8,1.8,0,268.4,21.9,61.2,1027.6,0
2020-01-05,1.4,-1.1,3.6,0.8,0,308.8,14.1,55.4,1035.5,36
2020-01-06,-0.8,-4.2,3.6,0,0,24,3.2,11.2,1032.9,0
2020-01-07,-1.5,-5.8,2.5,0.1,0,269.2,10.4,33.5,1031.3,30
2020-01-08,1.6,0.7,2.6,1.8,0,360,5.4,14.8,1032.4,0
2020-01-09,3.4,0.7,8.5,0,0,360,4.7,9.4,1025.2,298
2020-01-10,-0.3,-2.1,2,0,0,360,3.9,13,1023.9,244
2020-01-11,3.6,-2.4,6.7,0.1,0,281.2,13.5,37.1,1032.9,29
2020-01-12,-3,-5.1,-1.6,0.1,0,241.8,5.3,13,1031.3,29
2020-01-13,-1,-3.1,-0.3,0,0,353.2,6,14.8,1027,168
2020-01-14,-1.1,-2,-0.4,0,0,43.3,10.4,20.5,1023.5,355
2020-01-15,-1.8,-2.3,-1.1,0,0,94.6,12.2,29.5,1026,296
2020-01-16,0.2,-2.2,4.2,0,0,29,6.4,29.5,1032.2,367
2020-01-17,-0.2,-2.2,1.6,0,0,19.8,9.9,25.9,1025.2,478
2020-01-18,0.9,-1.3,3,4,0,354.9,7.1,24.1,1027.4,2
2020-01-19,1.4,-0.2,3.3,0.8,0,302,12,25.9,1034.4,0
2020-01-20,0.7,-1.2,3.9,1.2,30,6.4,8.3,20.5,1046.1,256
2020-01-21,-1.1,-3.4,0,0,0,11.4,7.1,25.9,1043.4,0
2020-01-22,-2,-2.4,-1.4,0,0,306.7,12.4,27.7,1037.3,0
2020-01-23,-0.4,-2.7,3.9,0,0,26.8,10.1,35.3,1033.8,375
2020-01-24,-1.7,-3.8,0.5,0,0,357.9,5.1,14.8,1027.5,208
2020-01-25,-2.4,-5.1,0.4,0.1,0,343.1,4.2,7.6,1025,115
2020-01-26,-0.8,-2.1,0.6,0,0,360,5.6,13,1022.7,0
2020-01-27,0.1,-1.2,3.7,1.2,0,360,5.1,13,1018.2,250
2020-01-28,1.1,-0.6,4.7,3.7,0,337.2,14.6,87.1,1006.5,18
2020-01-29,2,-0.3,3.9,10.2,10,259.8,20.9,61.2,1011,15
2020-01-30,3.7,1.2,8.7,0,0,290.7,13.8,38.9,1017.3,312
2020-01-31,9.3,1.6,14.3,4.7,0,287.2,20.4,66.6,1012.7,20
2020-02-01,11.5,6.9,15.7,0.6,0,260.6,15.6,51.8,1012,435
2020-02-02,9.5,4.7,12.7,9,0,273.2,19.2,81.7,1013.7,62
2020-02-03,6.7,5.3,10.8,21.9,0,247.7,27.8,59.4,1016.1,0
2020-02-04,4.2,1.5,7.6,7.6,0,285.3,29.8,92.5,1009.1,91
2020-02-05,2.3,0.1,4,0.3,0,299.4,27.9,63,1026,241
2020-02-06,0.4,-3.4,4.4,0,0,272.2,16.4,38.9,1033.2,487
2020-02-07,0.6,-3.5,5.5,0,0,5.5,7.8,22.3,1031,538
2020-02-08,0.6,-2.6,4.7,0,0,11.1,7.7,18.4,1028.2,523
2020-02-09,0.2,-5,6.9,0,0,360,5.4,14.8,1024.1,500
2020-02-10,5,0.6,10.7,6.2,0,311.5,20,105.5,1006.4,249
2020-02-11,5.1,3.5,8.3,4.6,0,257.8,33.9,98.3,1008.2,47
2020-02-12,3.5,0.4,6.8,1.6,0,264.5,29.4,83.5,1018.3,63
2020-02-13,3,-0.4,6.6,0.3,0,71.5,14.3,44.6,1016.9,303
2020-02-14,6.3,4.7,8.4,1.4,0,273,25.7,55.4,1018.9,28
2020-02-15,5.5,0.8,10.8,0,0,9.7,8.6,27.7,1027,478
2020-02-16,3.8,-1.9,9.7,0,0,5.1,5.3,20.5,1022.4,215
2020-02-17,5.8,-0.4,11.4,0.3,0,349.4,8,38.9,1019.8,352
2020-02-18,6.7,4.5,9.6,3,0,270.6,22.1,61.2,1026.7,280
2020-02-19,4.2,1,7.9,2.6,0,299.5,16.4,61.2,1023,23
2020-02-20,3.5,-0.7,7.7,0,0,353.5,7.2,31.7,1024.4,48
2020-02-21,3.6,-1.1,7.4,2,0,314.5,25.1,70.6,1026.7,453
2020-02-22,5.5,0.4,12.6,0,0,346,7.7,27.7,1028.5,502
2020-02-23,10.3,6.8,16,6,0,283.1,27.2,87.1,1020.4,0
2020-02-24,6.4,2.4,12.9,1.9,0,291,22.4,101.9,1020.5,0
2020-02-25,4.4,-1.2,11.9,0.7,0,337.3,8.7,44.6,1007,15
2020-02-26,4.2,1.4,6.9,1.7,0,259.6,24.9,72.4,1001.7,28
2020-02-27,3.6,1.2,6.7,2.1,0,263.8,20.9,70.6,1005.1,151
2020-02-28,1.8,-1.5,4,2.1,0,296.6,31.7,94.7,1015.4,132
2020-02-29,3.2,-0.9,8,0.1,0,32.3,10.1,31.7,1008.7,199
2020-03-01,5.9,3.2,10.1,0.6,0,17.2,9,24.1,1004.5,313
2020-03-02,7.7,2.9,12.4,2.1,0,61,16.8,40.8,996.7,323
2020-03-03,5,2.8,8.8,6.8,0,274.1,20.1,55.5,1002.1,3
2020-03-04,3.7,0.5,6.5,0,0,321.3,10.8,37.1,1014.1,121
2020-03-05,4.4,-2.7,10.9,0.4,0,45.8,11.2,33.5,1005,289
2020-03-06,6.9,4.2,11,3.2,0,316.3,16.7,51.8,998.6,51
2020-03-07,4.9,3,6.8,2.5,0,271.2,25.2,53.6,1015.8,11
2020-03-08,4.7,1.8,9.2,0,0,356.3,6.9,24.1,1021.9,575
2020-03-09,3.8,-0.2,7.6,0.7,0,337.3,8.4,31.7,1016.1,23
2020-03-10,6,2.9,8.4,6.4,0,289.1,12.5,27.8,1017.3,30
2020-03-11,12.1,7.1,15.5,4.8,0,265.2,23.5,53.7,1015.9,61
2020-03-12,13.4,6.8,19.2,0.2,0,268,21.3,64.8,1014.6,422
2020-03-13,7.8,4.1,10.7,0.8,0,258.3,21.9,55.4,1019.2,203
2020-03-14,5.4,-0.1,10.5,0,0,8.8,9.6,27.7,1023.2,426
2020-03-15,4.9,-0.8,11.5,0,0,76.7,21.2,48.2,1024,645
2020-03-16,7,-1.7,16.6,0,0,8.2,5.1,20.5,1022.8,647
2020-03-17,6.6,1.1,13.1,1.2,0,342.5,6.2,25.9,1030.4,55
2020-03-18,8.6,1.7,17.4,0.2,0,360,4.2,11.2,1029.9,473
2020-03-19,9.9,1.4,18.6,0,0,339.3,4.7,14.8,1025.1,668
2020-03-20,10.9,2.9,19.4,0,0,1.3,5.1,18.4,1020.2,655
2020-03-21,5.5,2.5,10.5,7.1,0,47,14.9,38.9,1022.1,0
2020-03-22,1.4,-1.8,3.6,0,0,59.6,18.7,37.1,1031.4,670
